timestamp,datetime,open,high,low,close,volume
1635724800000,2021-11-01T00:00:00.000Z,4373.48,4399.11,4327.99,4360.69,11235.8539
1635728400000,2021-11-01T01:00:00.000Z,4384.33,4407.81,4314.11,4349.71,20771.8426
1635732000000,2021-11-01T02:00:00.000Z,4311.99,4326.64,4280.2,4299.54,7621.6121
1635735600000,2021-11-01T03:00:00.000Z,4260.41,4264.95,4250.43,4259.24,14173.6971
1635739200000,2021-11-01T04:00:00.000Z,4287.67,4298.2,4278.52,4283.54,8455.3706
1635742800000,2021-11-01T05:00:00.000Z,4257.2,4289.71,4234.14,4240.75,7026.1581
1635746400000,2021-11-01T06:00:00.000Z,4368.02,4373.28,4331.84,4345.43,6740.7407
1635750000000,2021-11-01T07:00:00.000Z,4395.59,4428.82,4386.97,4395.66,8905.2649
1635753600000,2021-11-01T08:00:00.000Z,4398.94,4415.61,4329.38,4366.75,12404.1087
1635757200000,2021-11-01T09:00:00.000Z,4400.94,4405.52,4335.62,4359.47,14168.6357
1635760800000,2021-11-01T10:00:00.000Z,4269.54,4279.07,4202.69,4243.6,7326.8684
1635764400000,2021-11-01T11:00:00.000Z,4364.03,4388.83,4331.36,4331.5,15427.463
1635768000000,2021-11-01T12:00:00.000Z,4309.86,4327.63,4281.08,4304.7,6466.5405
1635771600000,2021-11-01T13:00:00.000Z,4262.31,4305.39,4227.39,4283.13,11832.2217
1635775200000,2021-11-01T14:00:00.000Z,4331.8,4389.25,4315.97,4364.04,13438.6561
1635778800000,2021-11-01T15:00:00.000Z,4368.22,4375.03,4318.01,4358.2,15535.0538
1635782400000,2021-11-01T16:00:00.000Z,4267.42,4282.83,4267.21,4268.9,8563.0231
1635786000000,2021-11-01T17:00:00.000Z,4227.73,4279.05,4204.67,4248.64,9456.6233
1635789600000,2021-11-01T18:00:00.000Z,4434.53,4475.25,4382.54,4420.86,7414.1346
1635793200000,2021-11-01T19:00:00.000Z,4472.84,4508.3,4415.75,4457.01,16800.4213
1635796800000,2021-11-01T20:00:00.000Z,4396.6,4459.88,4356.07,4418.94,13932.617
1635800400000,2021-11-01T21:00:00.000Z,4354.99,4372.03,4320.06,4355.08,11279.6299
1635804000000,2021-11-01T22:00:00.000Z,4336.16,4344.25,4262.57,4302.68,9059.6886
1635807600000,2021-11-01T23:00:00.000Z,4379.21,4419.17,4359.19,4398.63,9082.729
1635811200000,2021-11-02T00:00:00.000Z,4369.65,4383.24,4349.87,4379.65,9405.9957
1635814800000,2021-11-02T01:00:00.000Z,4456.24,4497.06,4431.41,4474.35,9641.3764
1635818400000,2021-11-02T02:00:00.000Z,4356.61,4366.78,4315.82,4341.38,15987.1735
1635822000000,2021-11-02T03:00:00.000Z,4420.76,4452.74,4389.57,4403.13,9554.2068
1635825600000,2021-11-02T04:00:00.000Z,4370.05,4428.65,4362.35,4397.58,16407.1583
1635829200000,2021-11-02T05:00:00.000Z,4475.72,4487.87,4451.39,4455.72,13338.6941
1635832800000,2021-11-02T06:00:00.000Z,4350.25,4353.28,4315.15,4333.11,17723.6507
1635836400000,2021-11-02T07:00:00.000Z,4278.64,4297.43,4260.42,4273.38,12399.8974
1635840000000,2021-11-02T08:00:00.000Z,4464.33,4473.29,4443.12,4467.67,7918.1705
1635843600000,2021-11-02T09:00:00.000Z,4285.04,4317.6,4258.8,4308.19,11845.3777
1635847200000,2021-11-02T10:00:00.000Z,4384.34,4411.53,4326.89,4370.38,6514.462
1635850800000,2021-11-02T11:00:00.000Z,4295.06,4329.24,4265.77,4297.89,9044.8559
1635854400000,2021-11-02T12:00:00.000Z,4434.76,4478.38,4422.89,4459.89,7642.7323
1635858000000,2021-11-02T13:00:00.000Z,4312.73,4323.89,4271.8,4282.44,19931.2701
1635861600000,2021-11-02T14:00:00.000Z,4436.58,4473.75,4421.39,4437.53,12926.5851
1635865200000,2021-11-02T15:00:00.000Z,4371.06,4402.42,4349.92,4383.65,14789.477
1635868800000,2021-11-02T16:00:00.000Z,4489.59,4506.27,4440.12,4470.98,14218.6965
1635872400000,2021-11-02T17:00:00.000Z,4323.26,4332.07,4271.94,4311.98,15305.2159
1635876000000,2021-11-02T18:00:00.000Z,4446.27,4486.13,4411.76,4440.2,9410.7569
1635879600000,2021-11-02T19:00:00.000Z,4416.96,4434.22,4402.04,4423.08,13021.4379
1635883200000,2021-11-02T20:00:00.000Z,4361.44,4384.97,4352.36,4380.42,9251.8245
1635886800000,2021-11-02T21:00:00.000Z,4389.92,4404.87,4359.88,4398.84,12886.5393
1635890400000,2021-11-02T22:00:00.000Z,4306.96,4325.97,4301.86,4315.45,16077.5701
1635894000000,2021-11-02T23:00:00.000Z,4328,4345.14,4274.67,4312.9,15919.6943
1635897600000,2021-11-03T00:00:00.000Z,4489.22,4498.08,4454.16,4489.32,7382.3295
